DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,9675,species,lickin1,Sangihe Lilac Kingfisher,Cittura sanghirensis
,9676,species,lickin2,Sulawesi Lilac Kingfisher,Cittura cyanotis
,9677,species,bnwkin1,Brown-winged Kingfisher,Pelargopsis amauroptera
,9678,species,stbkin1,Stork-billed Kingfisher,Pelargopsis capensis
,9694,species,blbkin1,Great-billed Kingfisher,Pelargopsis melanorhyncha
,9698,species,rudkin1,Ruddy Kingfisher,Halcyon coromanda
,9709,species,chbkin2,Chocolate-backed Kingfisher,Halcyon badia
,9712,species,whtkin2,White-throated Kingfisher,Halcyon smyrnensis
,9718,species,bnbkin1,Brown-breasted Kingfisher,Halcyon gularis
,9719,species,gyhkin1,Gray-headed Kingfisher,Halcyon leucocephala
,9725,species,blckin1,Black-capped Kingfisher,Halcyon pileata
,9726,species,javkin1,Javan Kingfisher,Halcyon cyanoventris
,9727,species,wookin1,Woodland Kingfisher,Halcyon senegalensis
,9731,species,mankin2,Mangrove Kingfisher,Halcyon senegaloides
,9734,species,blbkin4,Blue-breasted Kingfisher,Halcyon malimbica
,9739,species,brhkin1,Brown-hooded Kingfisher,Halcyon albiventris
,9744,species,strkin1,Striped Kingfisher,Halcyon chelicuti
,9747,species,blbkin3,Blue-black Kingfisher,Todiramphus nigrocyaneus
,9751,species,rulkin1,Rufous-lored Kingfisher,Todiramphus winchelli
,9757,species,bawkin1,Blue-and-white Kingfisher,Todiramphus diops
,9758,species,lazkin1,Lazuli Kingfisher,Todiramphus lazuli
,9759,species,rebkin2,Red-backed Kingfisher,Todiramphus pyrrhopygius
,9760,species,forkin1,Forest Kingfisher,Todiramphus macleayii
,9764,species,nebkin1,New Britain Kingfisher,Todiramphus albonotatus
,9765,species,ultkin1,Ultramarine Kingfisher,Todiramphus leucopygius
,9766,species,chbkin1,Vanuatu Kingfisher,Todiramphus farquhari
,9767,species,markin2,Marquesas Kingfisher,Todiramphus godeffroyi
,9768,species,mankin1,Mewing Kingfisher,Todiramphus ruficollaris
,9769,species,tahkin1,Society Kingfisher,Todiramphus veneratus
,9770,issf,sockin1,Society Kingfisher (Moorea),Todiramphus veneratus youngi
,9771,issf,sockin2,Society Kingfisher (Tahiti),Todiramphus veneratus veneratus
,9772,species,tuakin2,Tuamotu Kingfisher,Todiramphus gambieri
,9773,issf,niakin1,Tuamotu Kingfisher (Niau),Todiramphus gambieri gertrudae
,9774,issf,mankin3,Tuamotu Kingfisher (Mangareva),Todiramphus gambieri gambieri
,9775,species,chakin2,Chattering Kingfisher,Todiramphus tutus
